epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.9328,3.74599,4.04111,4.04709,0.00054,0.20312,0.00203,0.00064,3.24959,4.02281,3.40148,0.09109,9e-05,9e-05
2,13.7498,3.57713,3.52149,3.37183,0.00058,0.21875,0.00158,0.00054,3.21497,4.15107,3.03317,0.0811881,0.000188119,0.000188119
3,16.4221,3.56163,3.11248,3.10939,0.00064,0.22656,0.00308,0.00088,3.26503,4.00846,2.9177,0.0712843,0.000284258,0.000284258
4,19.0447,3.48884,2.77259,3.00409,0.0006,0.21875,0.00559,0.00151,3.33001,3.9812,2.89717,0.0613784,0.000378417,0.000378417
5,21.6073,3.30185,2.52651,2.90094,0,0,0,0,3.39013,4.11408,2.89375,0.0514706,0.000470596,0.000470596
6,24.1082,3.09967,2.27663,2.82522,0,0,0,0,3.44811,4.25443,2.90795,0.0415608,0.000560795,0.000560795
7,26.6028,2.95685,2.16388,2.77218,0,0,0,0,3.47519,4.26189,2.90833,0.031649,0.000649014,0.000649014
8,29.0473,2.81217,2.02903,2.7492,0.03161,0.25,0.13413,0.08386,3.19335,4.13873,2.81958,0.0217353,0.000735253,0.000735253
9,31.5529,2.60299,1.82379,2.55918,0.0362,0.25641,0.23742,0.13306,3.09312,3.88509,2.74605,0.0118195,0.000819512,0.000819512
10,34.1666,2.52634,1.72563,2.5489,0.97691,0.21591,0.37979,0.21693,2.95303,3.70486,2.69067,0.00190179,0.000901791,0.000901791
11,36.5949,2.35904,1.62295,2.41427,0.95905,0.25317,0.37542,0.11092,2.99952,3.19017,2.69363,0.000901,0.000901,0.000901
12,39.0782,2.37077,1.58703,2.35889,0.91625,0.42969,0.46505,0.16961,2.60792,2.43444,2.54794,0.0008911,0.0008911,0.0008911
13,41.4983,2.21846,1.53062,2.27075,0.63414,0.51002,0.57191,0.24121,2.31717,2.10629,2.39166,0.0008812,0.0008812,0.0008812
